Category,Scope,Unit,Quantity,BasePrice,Colombo,Gampaha,Kalutara,Kandy,Galle,Matara,Jaffna,Kurunegala,Anuradhapura,Badulla
Content Writing,300 words,words,300,1000,1300,1200,1100,1150,1100,1050,1050,1000,950,950
Content Writing,500 words,words,500,1500,1950,1800,1650,1725,1650,1575,1575,1500,1425,1425
Content Writing,1000 words,words,1000,3000,3900,3600,3300,3450,3300,3150,3150,3000,2850,2850
Content Writing,2500 words,words,2500,7500,9750,9000,8250,8625,8250,7875,7875,7500,7125,7125
Data Entry,100 records,records,100,500,650,600,550,575,550,525,525,500,475,475
Data Entry,500 records,records,500,1500,1950,1800,1650,1725,1650,1575,1575,1500,1425,1425
Data Entry,2000 records,records,2000,5000,6500,6000,5500,5750,5500,5250,5250,5000,4750,4750
Painting,One wall,wall,1,4000,5200,4800,4400,4600,4400,4200,4200,4000,3800,3800
Painting,One room,room,1,12000,15600,14400,13200,13800,13200,12600,12600,12000,11400,11400
Painting,Whole house,house,1,100000,130000,120000,110000,115000,110000,105000,105000,100000,95000,95000
Plumbing,Leak repair,job,1,2500,3250,3000,2750,2875,2750,2625,2625,2500,2375,2375
Plumbing,Sink install,job,1,7000,9100,8400,7700,8050,7700,7350,7350,7000,6650,6650
Plumbing,Bathroom plumbing,job,1,40000,52000,48000,44000,46000,44000,42000,42000,40000,38000,38000
Electrical,Switch/socket,job,1,2500,3250,3000,2750,2875,2750,2625,2625,2500,2375,2375
Electrical,Room wiring,room,1,10000,13000,12000,11000,11500,11000,10500,10500,10000,9500,9500
Electrical,House wiring,house,1,80000,104000,96000,88000,92000,88000,84000,84000,80000,76000,76000
Web Development,Landing page,page,1,30000,39000,36000,33000,34500,33000,31500,31500,30000,28500,28500
Web Development,Business website,site,1,90000,117000,108000,99000,103500,99000,94500,94500,90000,85500,85500
Web Development,Ecommerce,site,1,300000,390000,360000,330000,345000,330000,315000,315000,300000,285000,285000
Graphic Design,Social post,design,1,1500,1950,1800,1650,1725,1650,1575,1575,1500,1425,1425
Graphic Design,Brochure,design,1,5000,6500,6000,5500,5750,5500,5250,5250,5000,4750,4750
Graphic Design,Brand package,package,1,20000,26000,24000,22000,23000,22000,21000,21000,20000,19000,19000
Mobile Repair,Screen replace,job,1,8000,10400,9600,8800,9200,8800,8400,8400,8000,7600,7600
Mobile Repair,Battery replace,job,1,5000,6500,6000,5500,5750,5500,5250,5250,5000,4750,4750
Mobile Repair,Motherboard,job,1,18000,23400,21600,19800,20700,19800,18900,18900,18000,17100,17100
